Section Seq,Section Title,Item Type,Content Seq,Author Name,Author,Issue,Issue Sort Key,Post Date,Path,Content Title,Title for Sort,Page Heading,Subtitle,Tags,Teaser,Image,Alt,lastmod,changefreq,priority,,,,,,,,,
1,Intro,Intro,0,,,,,,intro/,Index,index,Index,,,,,,,,,,,,,,,,,
1,Intro,Intro,2,,,,,2016-10-15,intro/,Introduction,introduction,Introduction,,,"Welcome to Practopians.com, the website for Practical Utopians! We invite you to explore our site. You'll note that it contains several different types of content. ",,,,,,,,,,,,,,
1,Intro,Intro,3,,,,,,intro/,About,about,About,,,,,,,,,,,,,,,,,
1,Intro,Intro,4,,,,,,intro/,Contact,contact,Contact,,,,,,,,,,,,,,,,,
2,Core,Core Writing,0,,,,,,core/,Index,index,Index,,,,,,,,,,,,,,,,,
2,Core,Core Writing,1,,,,,2015-12-16,core/,Background,background,Background,,,It has seemed to me for some time that there is a space -- perhaps even a need -- for some new institution to emerge in the world.,,,,,,,,,,,,,,
2,Core,Core Writing,2,,,,,2018-10-10,core/,Core Clusters,core clusters,Core Clusters,,,,,,,,,,,,,,,,,
2,Core,Core Writing,3,,,,,2015-12-16,core/,Mission,mission,Mission,,,"The Practopians seek to identify and promote beliefs, principles, values and actions that will result in a brighter future for humanity.",,,,,,,,,,,,,,
2,Core,Core Writing,4,,,,,2015-12-16,core/,Principles,principles,Principles,,,This list identifies our most fundamental beliefs about the world and our place in it.,,,,,,,,,,,,,,
2,Core,Core Writing,5,,,,,2015-12-16,core/,Values,values,Values,,,These are the things we value most.,,,,,,,,,,,,,,
2,Core,Core Writing,6,,,,,2016-11-22,core/,About the Principles and Values,about the principles and values,About the Principles and Values,,,"The Practopian Principles and Values are intended to provide a foundational set of beliefs about human nature, the world, and our place in it.",,,,,,,,,,,,,,
2,Core,Core Writing,7,,,,,2016-12-05,core/,Pledge,pledge,Pledge,,,Are you ready to Take the Practopians Pledge?,,,,,,,,,,,,,,
2,Core,Core Writing,8,,,,,2017-03-18,way/,The Practopian Way,practopian way,The Practopian Way,,,"A stand-alone document encapsulating our Mission, Principles and Values. ",,,,,,,,,,,,,,
2,Core,Core Writing,9,,,,,2016-12-05,core/,Changes,changes,Changes,,,"This log tracks changes to the content of the site, especially in regards to the Core Writings.",,,,,,,,,,,,,,
3,Issues,Issue,0,,,,,,issues/,Index,index,Index,,,,,,,,,,,,,,,,,
3,Issues,Issue,1,Herb Bowie,hbowie,Sustainability,sustainability,2016-11-23,issues/,Sustainability,sustainability,Sustainability,,sustainability,"As Practical Utopians, we want our culture to continue to evolve towards better and brighter outcomes for humanity.  The biggest threat we see to this continued evolution is our ongoing exhaustion and degradation of our natural environment here on Earth. ",,,,,,,,,,,,,,
3,Issues,Issue,2,Herb Bowie,hbowie,Population,population,2017-03-18,issues/,Human Population Growth,human population growth,Human Population Growth,,"sustainability, population","If sustainability is the most serious issue of our time, then human population growth is certainly one of the most vital tools we have for making progress in this area. Let's look at the topic of human population growth from a number of different perspectives. ",,,,,,,,,,,,,,
4,Basics,Basic Info,0,,,,,,basics/,Index,index,Index,,,,,,,,,,,,,,,,,
5,Blog,Blog Post,0,,,,,,blog/,Index,index,Index,,,,,,,,,,,,,,,,,
5,Blog,Blog Post,0,,,,,,blog/,Index by Title,index by title,Index by Title,,,,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-12-17,blog/hbowie/,My Prayer for a More Integral New Year,my prayer for a more integral new year,My Prayer for a More Integral New Year,,"integral, balance, connection","As 2019 winds to a close, and we pause briefly to compose ourselves before finding out what 2020 has in store, I want to take a moment to offer up a prayer -- not to God, but to all of us -- for a more integral sense of who we are in the new year.",integral-globe.jpg,View of Earth seen from space,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-11-01,blog/hbowie/,The Personal vs. The Institutional,personal vs. the institutional,The Personal vs. The Institutional,,"democracy, governance, systemic, cultural evolution","The problem here is that this conflict between the personal and the institutional is a false dichotomy. While we are right to believe that the ultimate goal of human society is the welfare of the individual persons within that society, it is folly to believe that these ends can be met without participation in and reliance on human institutions.",supreme-court-pillars.jpg,Pillars outside of the US Supreme Court,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-09-25,blog/hbowie/,"The System is Working Very Well, Thank You","system is working very well, thank you","The System is Working Very Well, Thank You",(It's Doing Exactly What It Was Designed To Do),"democracy, value creation, equality, society, systemic","We need to realize that the current system is, in fact, not broken. Instead, in truth, it is doing exactly what it was designed to do.",system-working-well.jpg,Engineer Inspecting the System,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-08-13,blog/hbowie/,Rejiggering Our Religion,rejiggering our religion,Rejiggering Our Religion,,"religion, humanism","When it comes to religion, the main question for most people is whether to keep the one we were raised with or to lose it altogether. But now I'm starting to wonder whether, instead of losing my religion, it might not be better just to rejigger it a bit? ",rejiggering-our-religion.jpg,"Symbols of three world religions - Judaism, Christianity and Islam",,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-07-20,blog/hbowie/,Apollo 11 - The Most Important Movie You'll See This Year,apollo 11 - the most important movie you'll see this year,Apollo 11 - The Most Important Movie You'll See This Year,,"cultural evolution, science, society","No matter what your age or orientation, it's hard to gainsay the significance of humankind's first trip through space to set foot on a celestial body other than our birth planet. Of course fictional space flight has become so common that sitting down for two hours to watch a documentary about a real trip that took place half a century ago might seem like a somewhat pedestrian enterprise. Ah, but there's where you'd be wrong.",moon.jpg,The Moon,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-07-16,blog/hbowie/,What the Latest Trump Attack Means for Democrats,what the latest trump attack means for democrats,What the Latest Trump Attack Means for Democrats,,"democracy, governance, progress","By now I'm sure you've heard of Trump's recent attacks on four Democratic congressional representatives, all women of color, urging them to ""go back ... to the crime-infested places from which they came."" How should Democrats respond? Here are the sorts of positions I'd like to hear them articulate.",arrows-confrontation.jpg,Arrows Pointing Toward A Confrontation,,,,,,,,,,,,
